Timestamp_Beijing,HR,GSR
'2026-03-13 15:30:42,163,93
'2026-03-13 15:30:42,163,92
'2026-03-13 15:30:43,163,91
'2026-03-13 15:30:43,163,91
'2026-03-13 15:30:43,147,92
'2026-03-13 15:30:43,147,93
'2026-03-13 15:30:43,147,91
'2026-03-13 15:30:44,147,91
'2026-03-13 15:30:44,147,93
'2026-03-13 15:30:44,129,94
'2026-03-13 15:30:44,129,93
'2026-03-13 15:30:44,129,93
'2026-03-13 15:30:45,129,93
'2026-03-13 15:30:45,114,95
'2026-03-13 15:30:45,114,93
'2026-03-13 15:30:45,114,93
'2026-03-13 15:30:45,114,93
'2026-03-13 15:30:46,102,95
'2026-03-13 15:30:46,102,93
'2026-03-13 15:30:46,102,93
'2026-03-13 15:30:46,102,92
'2026-03-13 15:30:46,93,93
'2026-03-13 15:30:47,93,91
'2026-03-13 15:30:47,93,92
'2026-03-13 15:30:47,93,91
'2026-03-13 15:30:47,85,92
'2026-03-13 15:30:47,85,92
'2026-03-13 15:30:48,85,92
'2026-03-13 15:30:48,85,93
'2026-03-13 15:30:48,79,94
'2026-03-13 15:30:48,79,93
'2026-03-13 15:30:49,79,92
'2026-03-13 15:30:49,79,93
'2026-03-13 15:30:49,76,94
'2026-03-13 15:30:49,76,94
'2026-03-13 15:30:49,76,93
'2026-03-13 15:30:50,76,93
'2026-03-13 15:30:50,76,93
'2026-03-13 15:30:50,71,93
'2026-03-13 15:30:50,71,93
'2026-03-13 15:30:50,71,93
'2026-03-13 15:30:51,71,93
'2026-03-13 15:30:51,69,94
'2026-03-13 15:30:51,69,93
'2026-03-13 15:30:51,69,93
'2026-03-13 15:30:51,70,93
'2026-03-13 15:30:52,70,94
'2026-03-13 15:30:52,70,94
'2026-03-13 15:30:52,70,93
'2026-03-13 15:30:52,71,93
'2026-03-13 15:30:52,71,93
'2026-03-13 15:30:53,71,93
'2026-03-13 15:30:53,71,92
'2026-03-13 15:30:53,72,92
'2026-03-13 15:30:53,72,93
'2026-03-13 15:30:53,72,93
'2026-03-13 15:30:54,72,92
'2026-03-13 15:30:54,72,92
'2026-03-13 15:30:54,71,93
